worklog_id,issue_key,author_login,started_date,time_spent_hours
90259,ATLAS-1497,kpatel,2026-08-03,3.0
90260,ATLAS-1492,kpatel,2026-08-03,3.0
90272,ATLAS-1492,kpatel,2026-08-03,1.5
90444,ATLAS-1564,lmuller,2026-08-03,1.0
90465,ATLAS-1573,lmuller,2026-08-03,2.0
90469,ATLAS-1591,lmuller,2026-08-03,2.0
90475,ATLAS-1564,lmuller,2026-08-03,1.5
90159,ATLAS-1461,mrodriguez,2026-08-03,4.0
90610,ATLAS-1652,rgupta,2026-08-03,4.0
90500,ATLAS-1621,swilson,2026-08-03,0.5
90516,ATLAS-1619,swilson,2026-08-03,3.0
90290,ATLAS-1519,tnguyen,2026-08-03,1.0
90342,ATLAS-1511,tnguyen,2026-08-03,2.0
90347,ATLAS-1518,tnguyen,2026-08-03,1.0
90003,ATLAS-1421,asharma,2026-08-04,1.0
90036,ATLAS-1421,asharma,2026-08-04,2.0
90370,ATLAS-1538,dokafor,2026-08-04,2.0
90436,ATLAS-1540,dokafor,2026-08-04,1.0
90634,ATLAS-1682,efoster,2026-08-04,1.0
90693,ATLAS-1672,efoster,2026-08-04,1.5
90128,ATLAS-1435,jchen,2026-08-04,2.0
90214,ATLAS-1498,kpatel,2026-08-04,1.5
90267,ATLAS-1484,kpatel,2026-08-04,1.0
90494,ATLAS-1564,lmuller,2026-08-04,2.0
90210,ATLAS-1461,mrodriguez,2026-08-04,2.0
90561,ATLAS-1641,rgupta,2026-08-04,2.5
90562,ATLAS-1638,rgupta,2026-08-04,1.5
90581,ATLAS-1652,rgupta,2026-08-04,2.5
90605,ATLAS-1638,rgupta,2026-08-04,2.5
90614,ATLAS-1641,rgupta,2026-08-04,0.5
90279,ATLAS-1527,tnguyen,2026-08-04,3.0
90324,ATLAS-1518,tnguyen,2026-08-04,2.0
90326,ATLAS-1511,tnguyen,2026-08-04,1.5
90012,ATLAS-1403,asharma,2026-08-05,0.5
90025,ATLAS-1409,asharma,2026-08-05,0.5
90040,ATLAS-1407,asharma,2026-08-05,3.0
90063,ATLAS-1407,asharma,2026-08-05,1.0
90072,ATLAS-1403,asharma,2026-08-05,1.0
90380,ATLAS-1538,dokafor,2026-08-05,2.5
90638,ATLAS-1687,efoster,2026-08-05,1.5
90654,ATLAS-1670,efoster,2026-08-05,2.5
90676,ATLAS-1660,efoster,2026-08-05,3.0
90132,ATLAS-1435,jchen,2026-08-05,4.0
90138,ATLAS-1443,jchen,2026-08-05,3.0
90142,ATLAS-1443,jchen,2026-08-05,2.0
90154,ATLAS-1456,jchen,2026-08-05,1.0
90163,ATLAS-1461,mrodriguez,2026-08-05,1.5
90187,ATLAS-1471,mrodriguez,2026-08-05,0.5
90566,ATLAS-1652,rgupta,2026-08-05,2.0
90277,ATLAS-1511,tnguyen,2026-08-05,3.0
90292,ATLAS-1516,tnguyen,2026-08-05,1.0
90331,ATLAS-1516,tnguyen,2026-08-05,2.0
90334,ATLAS-1516,tnguyen,2026-08-05,2.5
90335,ATLAS-1518,tnguyen,2026-08-05,1.5
90402,ATLAS-1530,dokafor,2026-08-06,2.0
90410,ATLAS-1544,dokafor,2026-08-06,0.5
90421,ATLAS-1538,dokafor,2026-08-06,0.5
90423,ATLAS-1530,dokafor,2026-08-06,1.5
90631,ATLAS-1687,efoster,2026-08-06,2.0
90642,ATLAS-1660,efoster,2026-08-06,1.0
90661,ATLAS-1673,efoster,2026-08-06,0.5
90684,ATLAS-1684,efoster,2026-08-06,1.5
90689,ATLAS-1687,efoster,2026-08-06,1.0
90083,ATLAS-1443,jchen,2026-08-06,2.5
90106,ATLAS-1427,jchen,2026-08-06,2.0
90124,ATLAS-1443,jchen,2026-08-06,2.0
90224,ATLAS-1504,kpatel,2026-08-06,0.5
90239,ATLAS-1498,kpatel,2026-08-06,4.0
90450,ATLAS-1552,lmuller,2026-08-06,2.0
90459,ATLAS-1552,lmuller,2026-08-06,1.0
90463,ATLAS-1591,lmuller,2026-08-06,1.5
90471,ATLAS-1561,lmuller,2026-08-06,3.0
90498,ATLAS-1564,lmuller,2026-08-06,1.0
90191,ATLAS-1471,mrodriguez,2026-08-06,4.0
90589,ATLAS-1641,rgupta,2026-08-06,1.0
90504,ATLAS-1604,swilson,2026-08-06,2.5
90518,ATLAS-1596,swilson,2026-08-06,1.5
90538,ATLAS-1607,swilson,2026-08-06,4.0
90546,ATLAS-1613,swilson,2026-08-06,1.0
90030,ATLAS-1421,asharma,2026-08-07,4.0
90034,ATLAS-1418,asharma,2026-08-07,1.0
90363,ATLAS-1544,dokafor,2026-08-07,4.0
90389,ATLAS-1544,dokafor,2026-08-07,2.5
90400,ATLAS-1538,dokafor,2026-08-07,2.0
90431,ATLAS-1538,dokafor,2026-08-07,3.0
90646,ATLAS-1670,efoster,2026-08-07,2.5
90697,ATLAS-1670,efoster,2026-08-07,2.5
90086,ATLAS-1451,jchen,2026-08-07,0.5
90099,ATLAS-1435,jchen,2026-08-07,2.5
90133,ATLAS-1427,jchen,2026-08-07,1.0
90145,ATLAS-1427,jchen,2026-08-07,4.0
90235,ATLAS-1504,kpatel,2026-08-07,2.0
90247,ATLAS-1484,kpatel,2026-08-07,2.0
90251,ATLAS-1497,kpatel,2026-08-07,1.5
90257,ATLAS-1479,kpatel,2026-08-07,3.0
90454,ATLAS-1552,lmuller,2026-08-07,4.0
90462,ATLAS-1561,lmuller,2026-08-07,3.0
90181,ATLAS-1461,mrodriguez,2026-08-07,1.0
90182,ATLAS-1477,mrodriguez,2026-08-07,3.0
90196,ATLAS-1461,mrodriguez,2026-08-07,2.0
90556,ATLAS-1641,rgupta,2026-08-07,2.0
90597,ATLAS-1638,rgupta,2026-08-07,1.5
90512,ATLAS-1613,swilson,2026-08-07,4.0
90533,ATLAS-1596,swilson,2026-08-07,4.0
90305,ATLAS-1527,tnguyen,2026-08-07,2.0
90309,ATLAS-1511,tnguyen,2026-08-07,2.5
90321,ATLAS-1519,tnguyen,2026-08-07,2.0
90343,ATLAS-1511,tnguyen,2026-08-07,1.5
90051,ATLAS-1409,asharma,2026-08-10,1.0
90068,ATLAS-1407,asharma,2026-08-10,1.0
90354,ATLAS-1538,dokafor,2026-08-10,1.5
90384,ATLAS-1538,dokafor,2026-08-10,1.0
90395,ATLAS-1530,dokafor,2026-08-10,1.0
90626,ATLAS-1670,efoster,2026-08-10,1.0
90699,ATLAS-1660,efoster,2026-08-10,2.5
90704,ATLAS-1660,efoster,2026-08-10,2.0
90091,ATLAS-1456,jchen,2026-08-10,2.0
90102,ATLAS-1435,jchen,2026-08-10,0.5
90115,ATLAS-1451,jchen,2026-08-10,2.5
90228,ATLAS-1504,kpatel,2026-08-10,1.0
90232,ATLAS-1498,kpatel,2026-08-10,1.0
90242,ATLAS-1492,kpatel,2026-08-10,2.5
90170,ATLAS-1461,mrodriguez,2026-08-10,2.5
90206,ATLAS-1477,mrodriguez,2026-08-10,2.0
90207,ATLAS-1461,mrodriguez,2026-08-10,2.5
90576,ATLAS-1641,rgupta,2026-08-10,1.5
90588,ATLAS-1633,rgupta,2026-08-10,1.0
90590,ATLAS-1633,rgupta,2026-08-10,0.5
90592,ATLAS-1633,rgupta,2026-08-10,2.0
90600,ATLAS-1633,rgupta,2026-08-10,1.0
90606,ATLAS-1641,rgupta,2026-08-10,2.0
90617,ATLAS-1641,rgupta,2026-08-10,1.0
90510,ATLAS-1596,swilson,2026-08-10,2.0
90530,ATLAS-1596,swilson,2026-08-10,4.0
90551,ATLAS-1626,swilson,2026-08-10,3.0
90555,ATLAS-1607,swilson,2026-08-10,1.5
